Season,Date,Team,Opponent,Team G,Opp G,Win Loss,Points
2018-19, 4/6/2019 ,RB Leipzig,Leverkusen,4,2,Win,3
2018-19, 4/13/2019 ,RB Leipzig,Wolfsburg,2,0,Win,3
2018-19, 4/20/2019 ,RB Leipzig,M'gladbach,2,1,Win,3
2018-19, 4/27/2019 ,RB Leipzig,Freiburg,2,1,Win,3
2018-19, 5/3/2019 ,RB Leipzig,Mainz,3,3,Draw,1
2018-19, 5/11/2019 ,RB Leipzig,Bayern Munich,0,0,Draw,1
2018-19, 8/25/2018 ,Schalke 04,Wolfsburg,1,2,Loss,0
2018-19, 9/2/2018 ,Schalke 04,Hertha,0,2,Loss,0
2018-19, 9/15/2018 ,Schalke 04,M'gladbach,1,2,Loss,0
2018-19, 9/22/2018 ,Schalke 04,Bayern Munich,0,2,Loss,0
2018-19, 9/25/2018 ,Schalke 04,Freiburg,0,1,Loss,0
2018-19, 9/29/2018 ,Schalke 04,Mainz,1,0,Win,3
2018-19, 10/6/2018 ,Schalke 04,Fortuna Dusseldorf,2,0,Win,3
2018-19, 10/20/2018 ,Schalke 04,Werder Bremen,0,2,Loss,0
2018-19, 10/28/2018 ,Schalke 04,RB Leipzig,0,0,Draw,1
2018-19, 11/3/2018 ,Schalke 04,Hannover,3,1,Win,3
2018-19, 11/11/2018 ,Schalke 04,Ein Frankfurt,0,3,Loss,0
2018-19, 11/24/2018 ,Schalke 04,Nurnberg,5,2,Win,3
2018-19, 12/1/2018 ,Schalke 04,Hoffenheim,1,1,Draw,1
2018-19, 12/8/2018 ,Schalke 04,Dortmund,1,2,Loss,0
2018-19, 12/15/2018 ,Schalke 04,Augsburg,1,1,Draw,1
2018-19, 12/19/2018 ,Schalke 04,Leverkusen,1,2,Loss,0
2018-19, 12/22/2018 ,Schalke 04,Stuttgart,3,1,Win,3
2018-19, 1/20/2019 ,Schalke 04,Wolfsburg,2,1,Win,3
2018-19, 1/25/2019 ,Schalke 04,Hertha,2,2,Draw,1
2018-19, 2/2/2019 ,Schalke 04,M'gladbach,0,2,Loss,0
2018-19, 2/9/2019 ,Schalke 04,Bayern Munich,1,3,Loss,0
2018-19, 2/16/2019 ,Schalke 04,Freiburg,0,0,Draw,1
2018-19, 2/23/2019 ,Schalke 04,Mainz,0,3,Loss,0
2018-19, 3/2/2019 ,Schalke 04,Fortuna Dusseldorf,0,4,Loss,0
2018-19, 3/8/2019 ,Schalke 04,Werder Bremen,2,4,Loss,0
2018-19, 3/16/2019 ,Schalke 04,RB Leipzig,0,1,Loss,0
2018-19, 3/31/2019 ,Schalke 04,Hannover,1,0,Win,3
2018-19, 4/6/2019 ,Schalke 04,Ein Frankfurt,1,2,Loss,0
2018-19, 4/12/2019 ,Schalke 04,Nurnberg,1,1,Draw,1
2018-19, 4/20/2019 ,Schalke 04,Hoffenheim,2,5,Loss,0
2018-19, 4/27/2019 ,Schalke 04,Dortmund,4,2,Win,3
2018-19, 5/5/2019 ,Schalke 04,Augsburg,0,0,Draw,1
2018-19, 5/11/2019 ,Schalke 04,Leverkusen,1,1,Draw,1
2018-19, 8/26/2018 ,Stuttgart,Mainz,0,1,Loss,0
2018-19, 9/1/2018 ,Stuttgart,Bayern Munich,0,3,Loss,0
2018-19, 9/16/2018 ,Stuttgart,Freiburg,3,3,Draw,1
2018-19, 9/21/2018 ,Stuttgart,Fortuna Dusseldorf,0,0,Draw,1
2018-19, 9/26/2018 ,Stuttgart,RB Leipzig,0,2,Loss,0
2018-19, 9/29/2018 ,Stuttgart,Werder Bremen,2,1,Win,3
2018-19, 10/6/2018 ,Stuttgart,Hannover,1,3,Loss,0
2018-19, 10/20/2018 ,Stuttgart,Dortmund,0,4,Loss,0
2018-19, 10/27/2018 ,Stuttgart,Hoffenheim,0,4,Loss,0
2018-19, 11/2/2018 ,Stuttgart,Ein Frankfurt,0,3,Loss,0
2018-19, 11/10/2018 ,Stuttgart,Nurnberg,2,0,Win,3
2018-19, 11/23/2018 ,Stuttgart,Leverkusen,0,2,Loss,0
2018-19, 12/1/2018 ,Stuttgart,Augsburg,1,0,Win,3
2018-19, 12/9/2018 ,Stuttgart,M'gladbach,0,3,Loss,0
2018-19, 12/15/2018 ,Stuttgart,Hertha,2,1,Win,3
2018-19, 12/18/2018 ,Stuttgart,Wolfsburg,0,2,Loss,0
2018-19, 12/22/2018 ,Stuttgart,Schalke 04,1,3,Loss,0
2018-19, 1/19/2019 ,Stuttgart,Mainz,2,3,Loss,0
2018-19, 1/27/2019 ,Stuttgart,Bayern Munich,1,4,Loss,0
2018-19, 2/3/2019 ,Stuttgart,Freiburg,2,2,Draw,1
2018-19, 2/10/2019 ,Stuttgart,Fortuna Dusseldorf,0,3,Loss,0
2018-19, 2/16/2019 ,Stuttgart,RB Leipzig,1,3,Loss,0
2018-19, 2/22/2019 ,Stuttgart,Werder Bremen,1,1,Draw,1
2018-19, 3/3/2019 ,Stuttgart,Hannover,5,1,Win,3
2018-19, 3/9/2019 ,Stuttgart,Dortmund,1,3,Loss,0
2018-19, 3/16/2019 ,Stuttgart,Hoffenheim,1,1,Draw,1
2018-19, 3/31/2019 ,Stuttgart,Ein Frankfurt,0,3,Loss,0
2018-19, 4/6/2019 ,Stuttgart,Nurnberg,1,1,Draw,1
2018-19, 4/13/2019 ,Stuttgart,Leverkusen,0,1,Loss,0
2018-19, 4/20/2019 ,Stuttgart,Augsburg,0,6,Loss,0
2018-19, 4/27/2019 ,Stuttgart,M'gladbach,1,0,Win,3
2018-19, 5/4/2019 ,Stuttgart,Hertha,1,3,Loss,0
2018-19, 5/11/2019 ,Stuttgart,Wolfsburg,3,0,Win,3
2018-19, 8/25/2018 ,Werder Bremen,Hannover,1,1,Draw,1
2018-19, 9/1/2018 ,Werder Bremen,Ein Frankfurt,2,1,Win,3
2018-19, 9/16/2018 ,Werder Bremen,Nurnberg,1,1,Draw,1
2018-19, 9/22/2018 ,Werder Bremen,Augsburg,3,2,Win,3
2018-19, 9/25/2018 ,Werder Bremen,Hertha,3,1,Win,3
2018-19, 9/29/2018 ,Werder Bremen,Stuttgart,1,2,Loss,0
2018-19, 10/5/2018 ,Werder Bremen,Wolfsburg,2,0,Win,3
2018-19, 10/20/2018 ,Werder Bremen,Schalke 04,2,0,Win,3
2018-19, 10/28/2018 ,Werder Bremen,Leverkusen,2,6,Loss,0
2018-19, 11/4/2018 ,Werder Bremen,Mainz,1,2,Loss,0
2018-19, 11/10/2018 ,Werder Bremen,M'gladbach,1,3,Loss,0
2018-19, 11/25/2018 ,Werder Bremen,Freiburg,1,1,Draw,1
2018-19, 12/1/2018 ,Werder Bremen,Bayern Munich,1,2,Loss,0
2018-19, 12/7/2018 ,Werder Bremen,Fortuna Dusseldorf,3,1,Win,3
2018-19, 12/15/2018 ,Werder Bremen,Dortmund,1,2,Loss,0
2018-19, 12/19/2018 ,Werder Bremen,Hoffenheim,1,1,Draw,1
2018-19, 12/22/2018 ,Werder Bremen,RB Leipzig,2,3,Loss,0
2018-19, 1/19/2019 ,Werder Bremen,Hannover,1,0,Win,3
2018-19, 1/26/2019 ,Werder Bremen,Ein Frankfurt,2,2,Draw,1
2018-19, 2/2/2019 ,Werder Bremen,Nurnberg,1,1,Draw,1
2018-19, 2/10/2019 ,Werder Bremen,Augsburg,4,0,Win,3
2018-19, 2/16/2019 ,Werder Bremen,Hertha,1,1,Draw,1
2018-19, 2/22/2019 ,Werder Bremen,Stuttgart,1,1,Draw,1
2018-19, 3/3/2019 ,Werder Bremen,Wolfsburg,1,1,Draw,1
2018-19, 3/8/2019 ,Werder Bremen,Schalke 04,4,2,Win,3
2018-19, 3/17/2019 ,Werder Bremen,Leverkusen,3,1,Win,3
2018-19, 3/30/2019 ,Werder Bremen,Mainz,3,1,Win,3
2018-19, 4/7/2019 ,Werder Bremen,M'gladbach,1,1,Draw,1
2018-19, 4/13/2019 ,Werder Bremen,Freiburg,2,1,Win,3
2018-19, 4/20/2019 ,Werder Bremen,Bayern Munich,0,1,Loss,0
2018-19, 4/27/2019 ,Werder Bremen,Fortuna Dusseldorf,1,4,Loss,0
2018-19, 5/4/2019 ,Werder Bremen,Dortmund,2,2,Draw,1
2018-19, 5/11/2019 ,Werder Bremen,Hoffenheim,1,0,Win,3
2018-19, 8/25/2018 ,Wolfsburg,Schalke 04,2,1,Win,3
2018-19, 9/1/2018 ,Wolfsburg,Leverkusen,3,1,Win,3
2018-19, 9/15/2018 ,Wolfsburg,Hertha,2,2,Draw,1
2018-19, 9/22/2018 ,Wolfsburg,Freiburg,1,3,Loss,0
2018-19, 9/26/2018 ,Wolfsburg,Mainz,0,0,Draw,1
2018-19, 9/29/2018 ,Wolfsburg,M'gladbach,2,2,Draw,1
2018-19, 10/5/2018 ,Wolfsburg,Werder Bremen,0,2,Loss,0
2018-19, 10/20/2018 ,Wolfsburg,Bayern Munich,1,3,Loss,0
2018-19, 10/27/2018 ,Wolfsburg,Fortuna Dusseldorf,3,0,Win,3
2018-19, 11/3/2018 ,Wolfsburg,Dortmund,0,1,Loss,0
2018-19, 11/9/2018 ,Wolfsburg,Hannover,1,2,Loss,0
2018-19, 11/24/2018 ,Wolfsburg,RB Leipzig,1,0,Win,3
2018-19, 12/2/2018 ,Wolfsburg,Ein Frankfurt,2,1,Win,3
2018-19, 12/8/2018 ,Wolfsburg,Hoffenheim,2,2,Draw,1
2018-19, 12/14/2018 ,Wolfsburg,Nurnberg,2,0,Win,3
2018-19, 12/18/2018 ,Wolfsburg,Stuttgart,2,0,Win,3
2018-19, 12/23/2018 ,Wolfsburg,Augsburg,3,2,Win,3
2018-19, 1/20/2019 ,Wolfsburg,Schalke 04,1,2,Loss,0
2018-19, 1/26/2019 ,Wolfsburg,Leverkusen,0,3,Loss,0
2018-19, 2/2/2019 ,Wolfsburg,Hertha,1,0,Win,3
2018-19, 2/9/2019 ,Wolfsburg,Freiburg,3,3,Draw,1
2018-19, 2/16/2019 ,Wolfsburg,Mainz,3,0,Win,3
2018-19, 2/23/2019 ,Wolfsburg,M'gladbach,3,0,Win,3
2018-19, 3/3/2019 ,Wolfsburg,Werder Bremen,1,1,Draw,1
2018-19, 3/9/2019 ,Wolfsburg,Bayern Munich,0,6,Loss,0
2018-19, 3/16/2019 ,Wolfsburg,Fortuna Dusseldorf,5,2,Win,3
2018-19, 3/30/2019 ,Wolfsburg,Dortmund,0,2,Loss,0
2018-19, 4/6/2019 ,Wolfsburg,Hannover,3,1,Win,3
2018-19, 4/13/2019 ,Wolfsburg,RB Leipzig,0,2,Loss,0
2018-19, 4/22/2019 ,Wolfsburg,Ein Frankfurt,1,1,Draw,1
2018-19, 4/28/2019 ,Wolfsburg,Hoffenheim,4,1,Win,3
2018-19, 5/4/2019 ,Wolfsburg,Nurnberg,2,0,Win,3
2018-19, 5/11/2019 ,Wolfsburg,Stuttgart,0,3,Loss,0
